2026-01-09 09:33:33 | INFO     | log_config      | 全局日志配置初始化完成
2026-01-09 09:33:33 | INFO     | login_window    | 登录窗口已初始化完成
2026-01-09 09:33:38 | INFO     | login_window    | 用户尝试登录，输入的用户名为：pyd
2026-01-09 09:33:38 | SUCCESS  | login_window    | 用户「pyd」登录成功，用户文件夹路径：../voice_dataset\pyd
2026-01-09 09:33:53 | INFO     | log_config      | 全局日志配置初始化完成
2026-01-09 09:33:53 | INFO     | login_window    | 登录窗口已初始化完成
2026-01-09 09:33:57 | INFO     | login_window    | 用户尝试登录，输入的用户名为：pyd
2026-01-09 09:33:57 | SUCCESS  | login_window    | 用户「pyd」登录成功，用户文件夹路径：../voice_dataset\pyd
2026-01-09 09:34:23 | INFO     | log_config      | 全局日志配置初始化完成
2026-01-09 09:34:23 | INFO     | login_window    | 登录窗口已初始化完成
2026-01-09 09:34:26 | INFO     | login_window    | 用户尝试登录，输入的用户名为：pyd
2026-01-09 09:34:26 | SUCCESS  | login_window    | 用户「pyd」登录成功，用户文件夹路径：../voice_dataset\pyd
2026-01-09 09:34:26 | INFO     | main_window     | 「pyd」的主窗口已初始化，默认算法：SHERPA
2026-01-09 09:34:26 | DEBUG    | main_window     | 用户「pyd」数据状态：当前样本数 0，SHERPA 算法需要 3 个，状态 不足
2026-01-09 09:34:26 | DEBUG    | main_window     | 用户「pyd」模型状态：SHERPA=未训练，ECAPA=未训练
2026-01-09 09:41:31 | INFO     | log_config      | 全局日志配置初始化完成
2026-01-09 09:41:31 | INFO     | login_window    | 登录窗口已初始化完成
2026-01-09 09:41:36 | INFO     | login_window    | 用户尝试登录，输入的用户名为：pyd
2026-01-09 09:41:36 | SUCCESS  | login_window    | 用户「pyd」登录成功，用户文件夹路径：../voice_dataset\pyd
2026-01-09 09:41:36 | INFO     | main_window     | 「pyd」的主窗口已初始化，默认算法：SHERPA
2026-01-09 09:41:36 | DEBUG    | main_window     | 用户「pyd」数据状态：当前样本数 0，SHERPA 算法需要 3 个，状态 不足
2026-01-09 09:41:36 | DEBUG    | main_window     | 用户「pyd」模型状态：SHERPA=未训练，ECAPA=未训练
2026-01-09 09:42:18 | INFO     | log_config      | 全局日志配置初始化完成
2026-01-09 09:42:18 | INFO     | login_window    | 登录窗口已初始化完成
2026-01-09 09:42:23 | INFO     | login_window    | 用户尝试登录，输入的用户名为：pyd
2026-01-09 09:42:23 | SUCCESS  | login_window    | 用户「pyd」登录成功，用户文件夹路径：../voice_dataset\pyd
